class,semantic_density,accuracy
apple,3.5084164,0.84
aquarium_fish,3.1448553,0.93
baby,3.9517493,0.89
bear,3.7149842,0.83
beaver,3.6528373,0.37
bed,3.5724418,0.87
bee,3.5778198,0.84
beetle,3.5770788,0.73
bicycle,3.9012768,0.93
bottle,3.8972638,0.86
bowl,3.7218418,0.5
boy,4.220953,0.69
bridge,4.2842555,0.61
bus,3.630657,0.72
butterfly,3.7712522,0.87
camel,3.4809682,0.87
can,3.7448983,0.82
castle,4.3008385,0.48
caterpillar,3.7245498,0.62
cattle,3.4321866,0.87
chair,3.164971,1.0
chimpanzee,2.7663338,0.96
clock,3.9584608,0.86
cloud,4.261022,0.45
cockroach,3.0575025,0.85
couch,3.4760764,0.64
crab,3.4557972,0.75
crocodile,4.017666,0.29
cup,3.8470414,0.69
dinosaur,3.9118257,0.68
dolphin,3.6003954,0.65
elephant,3.6459255,0.93
flatfish,3.8305712,0.51
forest,4.1222644,0.19
fox,3.6735778,0.88
girl,4.216725,0.61
hamster,3.460169,0.84
house,4.1088724,0.81
kangaroo,3.6283724,0.79
keyboard,3.942412,0.79
lamp,3.9372091,0.73
lawn_mower,2.2831132,0.93
leopard,4.039045,0.59
lion,3.8696406,0.86
lizard,3.7828107,0.8
lobster,3.9919467,0.35
man,4.332812,0.55
maple_tree,3.2540379,0.85
motorcycle,3.5769203,0.97
mountain,4.2412415,0.8
mouse,3.456543,0.29
mushroom,3.5059521,0.8
oak_tree,3.337977,0.33
orange,3.4290097,0.93
orchid,3.4983456,0.88
otter,3.6617246,0.67
palm_tree,3.2059095,0.91
pear,3.1261632,0.79
pickup_truck,2.7607603,0.99
pine_tree,3.5235136,0.72
plain,4.2097263,0.65
plate,3.8743534,0.61
poppy,3.7313976,0.88
porcupine,3.6781225,0.51
possum,3.5164695,0.47
rabbit,3.6509912,0.88
raccoon,3.51967,0.76
ray,3.6690164,0.3
road,4.190074,0.46
rocket,3.6558807,0.82
rose,4.079233,0.83
sea,4.3310747,0.47
seal,3.8879082,0.41
shark,3.625789,0.59
shrew,3.4929578,0.66
skunk,3.405901,0.66
skyscraper,4.2527456,0.65
snail,3.5883164,0.79
snake,3.7992184,0.84
spider,3.6899738,0.79
squirrel,3.6836143,0.73
streetcar,3.1973162,0.82
sunflower,3.6668613,0.94
sweet_pepper,2.3266609,0.94
table,3.6313956,0.87
tank,3.9661176,0.85
telephone,3.6851935,0.86
television,3.966317,0.75
tiger,3.8657572,0.71
tractor,3.7669103,0.7
train,3.696174,0.87
trout,3.3850033,0.57
tulip,3.8105218,0.76
turtle,3.84274,0.69
wardrobe,3.8245978,0.69
whale,3.619303,0.68
willow_tree,3.352725,0.59
wolf,3.8639758,0.87
woman,4.2802844,0.57
worm,4.0196996,0.5
